Embedding,Leiden NMI,Leiden ARI,KBET,Batch correction,Bio conservation,Total
scVI_beta=0,0.7578867643031366,0.5906474733037528,0.31555090192862933,0.31555090192862933,0.6742671188034447,0.5307806320535186
scVI_beta=1,0.760806749508369,0.5835220623881778,0.3489836077825212,0.3489836077825212,0.6721644059482734,0.5428920866819725
scVI_beta=2,0.75578878568272,0.6231682933115746,0.39491446978550865,0.39491446978550865,0.6894785394971473,0.5716529116124918
scVI_beta=4,0.7309977788056083,0.6222647023622639,0.4245361496550224,0.4245361496550224,0.6766312405839361,0.5757932042123706
scVI_beta=6,0.6889999538463123,0.4984935850519938,0.442654502504392,0.442654502504392,0.5937467694491531,0.5333098626712486
scVI_beta=8,0.6900817437581968,0.5173991523284844,0.4652584339434819,0.4652584339434819,0.6037404480433406,0.5483476424033971
scVI_beta=10,0.701640207139784,0.5469843211169823,0.47437406715138986,0.47437406715138986,0.6243122641283831,0.5643369853375859
scVI_beta=15,0.6640607327040907,0.4420148393754269,0.4488740800927975,0.4488740800927975,0.5530377860397588,0.5113723036609743
Metric Type,Bio conservation,Bio conservation,Batch correction,Aggregate score,Aggregate score,Aggregate score
