Embedding,Leiden NMI,Leiden ARI,KMeans NMI,KMeans ARI,Silhouette label,Silhouette batch,KBET,Batch correction,Bio conservation,Total,loglik,k
scVI_k=2,0.7282831672432813,0.5482759313923236,0.6888843956851503,0.4581583375571297,0.5951734185218811,0.83620685,0.21971980988955592,0.5279633316396479,0.6037550500799532,0.5734383627038311,-506.3574763706752,2
scVI_k=5,0.7474408322058977,0.5544122517189505,0.7353077382224333,0.5458541602799085,0.6099375784397125,0.8271167,0.28194505734783687,0.5545308925884082,0.6385905121733806,0.6049666643393916,-506.2476479666574,5
scVI_k=10,0.7766765164064373,0.6155410297928153,0.7386835889937687,0.5527480127864115,0.6245931163430214,0.82004964,0.28812521818948605,0.5540874308530133,0.6616484528644909,0.6186240440598998,-506.02053615025113,10
scVI_k=50,0.7828212151386927,0.6164851895307122,0.7542372133286067,0.5514707781169116,0.6205323785543442,0.82116294,0.32107124753927774,0.5711170933054666,0.6651093549338534,0.6275124502824987,-507.87734767368863,50
scVI_k=100,0.7709629503615815,0.6129955193685851,0.7596338769389358,0.5670713462060172,0.6293942183256149,0.81886065,0.3089070095909016,0.5638838298267314,0.6680115822401469,0.6263604812747807,-506.72481209891185,100
scVI_k=200,0.784411726170934,0.6176171211471274,0.7484752589684572,0.5580750328755218,0.6329337954521179,0.81713295,0.3225851213326928,0.5698590355808972,0.6683025869228317,0.6289251663860579,-505.9831019810268,200
scVI_k=500,0.7758571742391239,0.614590923680758,0.7390787914064896,0.5348995926632001,0.6166018694639206,0.81343174,0.3076533010694907,0.5605425204383098,0.6562056702906984,0.617940410349743,-506.1055995396205,500
