,vampLeiden NMI0,vampLeiden ARI0,vampKBET0,vampLeiden NMI1,vampLeiden ARI1,vampKBET1,vampLeiden NMI2,vampLeiden ARI2,vampKBET2,vampLeiden NMI3,vampLeiden ARI3,vampKBET3,vampLeiden NMI4,vampLeiden ARI4,vampKBET4
0,0.7598300561736775,0.6027321298290941,0.26855056003528516,0.7577544526480318,0.5824724292742514,0.25408753462792233,0.749027102284583,0.5472238580150205,0.26436866435599127,0.7690395541894193,0.6483459656095814,0.25701339912247434,0.7506386029781601,0.5604396728323032,0.272527706322069
1,0.769769238531464,0.5977950586670907,0.2851144264935072,0.7677092925779206,0.6281401875198533,0.2852955910180588,0.7749206010000915,0.6258137451311664,0.2956681980361967,0.7767786715879105,0.5991944632577781,0.26819316278223476,0.7723335877760783,0.6522102594055076,0.28569298853298386
2,0.773481202188914,0.6095641611589835,0.2886518238695479,0.7711577124139335,0.58135033186611,0.28829314345588936,0.7732059374309453,0.6241778994872252,0.290702898393572,0.774868188294867,0.6148764233350986,0.2778821326937874,0.7719758601396662,0.618841319841173,0.2971465081610982
3,0.772013808660916,0.6062121883322226,0.3052758565432718,0.7738135898115083,0.6453902333678493,0.2995644813568822,0.7707553259164991,0.6271579621129658,0.30285363039139185,0.7673493796491965,0.6254686628698104,0.2858236777594831,0.7745485059321913,0.6219560272968064,0.3017490459451776
4,0.7721059066967845,0.6309223297311775,0.3018518752222363,0.7625884377803234,0.6187013355284007,0.3070115280772651,0.7766209137392787,0.6343167197647134,0.2885450934698419,0.770937514971462,0.6014286654190525,0.2864089600358954,0.7740315500599776,0.6262400930248206,0.3031632590746215
5,0.7699093158820591,0.6191161855726993,0.3197701731230454,0.7727320524293081,0.6211699831252214,0.3108158644275757,0.7683193716467647,0.5973157622304943,0.30862008390994417,0.7657714681031944,0.6069465017983992,0.2899072058152265,0.773148604404648,0.61437916728376,0.3136675787620108
6,0.7598534496740658,0.5871506051763111,0.3130183640503709,0.7674019240528801,0.6158625412339511,0.31587888088476923,0.7611712476509612,0.5866447862498568,0.31548562010462516,0.769438784550288,0.591796939688005,0.2941203433504076,0.7693625268187839,0.6190884775082506,0.31323060019906557
7,0.7607148800642012,0.6226590724807134,0.32314433593988073,0.7587629135460287,0.586309012487968,0.32341588844696767,0.764093342328522,0.5686156020943527,0.33038819105058975,0.7738843008111673,0.6413155747755956,0.30891344966058704,0.7667273728322241,0.5943886078448704,0.328515014316355
8,0.7602621379531711,0.6160200811311255,0.33103364545911623,0.7632899270415873,0.5903712574400861,0.33021821184480415,0.7611058422167329,0.5915873923814693,0.3376249672534341,0.7668520129740743,0.589516953489227,0.31195863188071893,0.7621126867709256,0.5787528616323436,0.3209801064852299
9,0.7598541056792159,0.6011199396731464,0.3285991755802818,0.7612714373689732,0.5862812439595967,0.3331165828684673,0.7587979035248856,0.5867988621172842,0.33961938912810175,0.7708356657356501,0.630853260547854,0.3179466236844941,0.7628838802193326,0.6124437771882718,0.3302787308642127
10,0.7571898126102302,0.5939159537475233,0.33817771165517785,0.7555761129829202,0.5977740799599539,0.34037015122824377,0.7588173883278531,0.6080739782538228,0.3666024226630714,0.7665093906672804,0.6250033868970081,0.3280338929124957,0.762391372656594,0.6160424945338365,0.34648626825035317
