Embedding,Leiden NMI,Leiden ARI,KBET,Batch correction,Bio conservation,Total
scVI_beta=0,0.822749521107018,0.8325690056765392,0.20165565219497827,0.20165565219497827,0.8276592633917786,0.5772578189130585
scVI_beta=1,0.7813405690345454,0.6407852973228556,0.25279632818189,0.25279632818189,0.7110629331787005,0.5277562911799764
scVI_beta=2,0.789464803473738,0.6451007810806219,0.2651303756280314,0.2651303756280314,0.71728279227718,0.5364218256175205
scVI_beta=4,0.7879120561699663,0.6317511738870054,0.2926188947030435,0.2926188947030435,0.7098316150284858,0.5429465268983089
scVI_beta=6,0.7555083668475351,0.5457191541631847,0.2893582897211846,0.2893582897211846,0.6506137605053599,0.5061115721916898
scVI_beta=8,0.7796531653874692,0.6254314963854137,0.32620682412701224,0.32620682412701224,0.7025423308864415,0.5520081281826698
scVI_beta=10,0.7502668349761503,0.5399128082312701,0.3122036472425644,0.3122036472425644,0.6450898216037102,0.5119353518592519
scVI_beta=15,0.7512617239114676,0.5489387546746071,0.32450172870213256,0.32450172870213256,0.6501002392930373,0.5198608350566754
Metric Type,Bio conservation,Bio conservation,Batch correction,Aggregate score,Aggregate score,Aggregate score
