Wall time,Step,Value
1690391984.261439,235,1697.7816162109375
1690391986.6231124,471,1532.087890625
1690391988.9994118,707,1505.569091796875
1690391991.3376043,943,1490.5662841796875
1690391993.903275,1179,1479.959228515625
1690391996.2758768,1415,1472.022705078125
1690391998.6320531,1651,1465.8902587890625
1690392000.9663978,1887,1460.844482421875
1690392003.3238118,2123,1456.5791015625
1690392005.8447797,2359,1453.06689453125
1690392008.1904545,2595,1450.3072509765625
1690392010.511801,2831,1448.0623779296875
1690392012.8349073,3067,1445.9144287109375
1690392015.1666298,3303,1444.502685546875
1690392017.7260256,3539,1442.6904296875
1690392020.0323281,3775,1441.367431640625
1690392022.3572063,4011,1440.1085205078125
1690392024.6661568,4247,1439.315673828125
1690392026.9977152,4483,1438.403076171875
1690392029.499219,4719,1437.7958984375
1690392031.8142471,4955,1437.02490234375
1690392034.1160333,5191,1436.1834716796875
1690392036.4343216,5427,1435.93359375
1690392038.7491155,5663,1435.419677734375
1690392041.2874746,5899,1435.03076171875
1690392043.6051247,6135,1434.3834228515625
1690392045.9118142,6371,1434.1380615234375
1690392048.2046485,6607,1433.7392578125
1690392050.5120485,6843,1433.4451904296875
1690392052.9925976,7079,1433.127197265625
1690392055.3042202,7315,1432.771728515625
1690392057.6221855,7551,1433.090087890625
1690392060.0558615,7787,1432.694580078125
1690392062.5157795,8023,1432.4705810546875
1690392065.0123756,8259,1432.004638671875
1690392067.3054674,8495,1432.066162109375
1690392069.6181488,8731,1431.63427734375
1690392071.9333525,8967,1431.5946044921875
1690392074.254882,9203,1431.36083984375
1690392076.901052,9439,1431.37939453125
1690392079.3030777,9675,1431.1112060546875
1690392081.6227698,9911,1431.1136474609375
1690392083.9758308,10147,1430.9903564453125
1690392086.2920485,10383,1430.66015625
1690392088.831663,10619,1430.5810546875
1690392091.14904,10855,1430.6131591796875
1690392093.4918823,11091,1430.4228515625
1690392095.8101747,11327,1430.28466796875
1690392098.1527195,11563,1430.0965576171875
1690392100.6755276,11799,1430.185546875
1690392103.1534464,12035,1429.97412109375
1690392105.4801986,12271,1429.7127685546875
1690392107.8435159,12507,1429.8671875
1690392110.1733603,12743,1429.8953857421875
1690392112.700983,12979,1429.7445068359375
